ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Local_Curr_Value,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3,ExchRate
LAB-ORGANIC-B21,ORGANIC REDBLEND BACKS LFE,Current Wine Labels,-3006.0000,RM,0.9200,-2765.520000,,,,0.0000,0.0000,0.0000,1.0000
LAB-ORGANIC-B21,ORGANIC REDBLEND BACKS LFE,Current Wine Labels,3300.0000,RM,0.9156,3021.480000,,,,0.0000,0.0000,0.0000,1.0000
LAB-ORGANIC-B21,ORGANIC REDBLEND BACKS LFE,Current Wine Labels,86.0000,Scr,0.9200,79.120000,,,,0.0000,0.0000,0.0000,1.0000
