ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,LotNumber,Unit_Cost,Value_On_Hand
MLBS,Logo Black Small T-shirt VB,T-Shirts,1,RM,02032025RM16,145.0000,145.0000
MLGS,Logo Grey Small T-shirt VB,T-Shirts,1,RM,02032025RM15,152.1400,152.1400
MLSG1,Long Sleeve Grey XS - PN,T-Shirts,2,RM,02032025RM18,125.0300,250.0600
MLSG2,Long Sleeve Grey S - PN,T-Shirts,0,RM,02032025RM19,125.0300,0.0000
MLSG3,Long Sleeve Grey M - PN,T-Shirts,6,RM,02032025RM20,125.0300,750.1800
MLSG4, Long Sleeve Grey Large - PN,T-Shirts,5,RM,02032025RM21,125.0300,625.1500
MLSG5,Long Sleeve Grey XL - PN,T-Shirts,1,RM,02032025RM22,125.0300,125.0300
MLSG6,Long Sleeve Grey 2XL - PN,T-Shirts,1,RM,02032025RM23,125.0300,125.0300
MLWL,Logo White Large T-shirt VB,T-Shirts,0,RM,02032025RM17,145.0000,0.0000
MTB3XL,T-shirt Black 3XL original logo,T-Shirts,1,RM,02032025RM8,121.5000,121.5000
MTG1-S,T-shirt Grey Small - PN,T-Shirts,22,RM,02032025RM5,98.1300,2158.8600
MTG2-M,T-shirt Grey Medium - PN,T-Shirts,8,RM,02032025RM2,101.0900,808.7200
MTG3-L,T-shirt Grey Large - PN,T-Shirts,10,RM,02032025RM6,97.4500,974.5000
MTG4-XL,T-shirt Grey XL - PN,T-Shirts,1,RM,02032025RM7,97.9400,97.9400
MTG5-2XL,T-shirt Grey 2XL - PN,T-Shirts,0,RM,02032025RM29,97.4500,0.0000
MTG6-3XL, T-shirt Grey 3XL - PN,T-Shirts,0,RM,02032025RM30,97.4500,0.0000
MTG7-XS,T-shirt Grey XS - PN,T-Shirts,0,RM,02032025RM33,97.4500,0.0000
NOT01,A5 Eco Notebook,Accessories,10,RM,02032025RM71,29.8300,298.3000
PAT,Embroidered Patch,Accessories,4,RM,02032025RM74,38.3000,153.2000
PEN01,Bamboo Pen,Accessories,17,RM,02032025RM72,12.6300,214.7100
PER001,Permit Fees,Education,0,RM,,0.0000,0.0000
SIGN02,Leopards of the Cape sign,Signage,0,RM,02032025RM76,1070.0000,0.0000
SIGN03,Leopards of the Cape Sign 2022,Signage,0,RM,02032025RM77,918.0000,0.0000
