Document,ItemCode,Category,Trn,Description,Qty,Year_Mth_Week,Due_Date
MIN,4036SF,,Min,AF306,0.0000,Min Level,06 Oct 2025
MIN,40385SF,,Min,AF3085,0.0000,Min Level,06 Oct 2025
MIN,4038SF,,Min,AF308,0.0000,Min Level,06 Oct 2025
MIN,40NSF,,Min,AF402,0.0000,Min Level,06 Oct 2025
MIN,40SF,,Min,AF40,0.0000,Min Level,06 Oct 2025
MIN,ACE001,,Min,Acetic Acid,0.0000,Min Level,06 Oct 2025
MIN,ACH,,Min,ACH,0.0000,Min Level,06 Oct 2025
MIN,ACT001,,Min,Activated Carbon,0.0000,Min Level,06 Oct 2025
MIN,AL001,,Min,Alcohol Solvent,0.0000,Min Level,06 Oct 2025
MIN,ALS001,,Min,Aluminium Sulphate Granular,0.0000,Min Level,06 Oct 2025
MIN,ALS002,,Min,Aluminuim Sulphate Liquid,0.0000,Min Level,06 Oct 2025
MIN,AMM001,,Min,Ammonia Solution,0.0000,Min Level,06 Oct 2025
MIN,BAC001,,Min,Bactallion Enzyme,0.0000,Min Level,06 Oct 2025
MIN,BL001,,Min,Bleach,0.0000,Min Level,06 Oct 2025
MIN,CAL001,,Min,Calcium Hypochlorite,0.0000,Min Level,06 Oct 2025
MIN,CASH001,,Min,Cash Supplier,0.0000,Min Level,06 Oct 2025
MIN,CAU001,,Min,Caustic Soda Flakes,0.0000,Min Level,06 Oct 2025
MIN,CHLO001,,Min,Chlorine (liquid of water),0.0000,Min Level,06 Oct 2025
MIN,CON001,,Min,Container 5LT,0.0000,Min Level,06 Oct 2025
MIN,DAD001,,Min,Dadmac,0.0000,Min Level,06 Oct 2025
MIN,DEL001,,Min,Delivery Cost,0.0000,Min Level,06 Oct 2025
MIN,DISH01,,Min,Dishwashing Liquid,0.0000,Min Level,06 Oct 2025
MIN,DYE001,,Min,Dye (Blue),0.0000,Min Level,06 Oct 2025
MIN,F001,,Min,Ferric Chloride,0.0000,Min Level,06 Oct 2025
MIN,FARM001,,Min,Farmguard,0.0000,Min Level,06 Oct 2025
MIN,FLO001,,Min,Flobin Deposit,0.0000,Min Level,06 Oct 2025
MIN,FLOC001,,Min,SF40N - DO NOT USE,0.0000,Min Level,06 Oct 2025
MIN,FLOC002,,Min,SF4010 - DO NOT USE,0.0000,Min Level,06 Oct 2025
MIN,FLOC003,,Min,SF4025 - DO NOT USE,0.0000,Min Level,06 Oct 2025
MIN,FREECHLO001,,Min,FREE CHLORINE REAGENT,0.0000,Min Level,06 Oct 2025
MIN,HTH001,,Min,Hth Granular,0.0000,Min Level,06 Oct 2025
MIN,HYD001,,Min,Hydrochloric Acid,0.0000,Min Level,06 Oct 2025
MIN,IND001,,Min,Industrial Cap,0.0000,Min Level,06 Oct 2025
MIN,LIG001,,Min,Lignex Dust Suppressant,0.0000,Min Level,06 Oct 2025
MIN,LIM001,,Min,Lime,0.0000,Min Level,06 Oct 2025
MIN,LIQ001,,Min,Liquid Toilet Soap,0.0000,Min Level,06 Oct 2025
MIN,M6059,,Min,3M 6059 ABEK1 ORG/INORG VAPOUR ACID GAS,0.0000,Min Level,06 Oct 2025
MIN,M6800,,Min,3M6800 CLASS 1 FULL RESPIRATOR DUAL,0.0000,Min Level,06 Oct 2025
MIN,MNS001,,Min,Cleaning Material,0.0000,Min Level,06 Oct 2025
MIN,NIT001,,Min,Nitric Acid 55-60% (per kg),0.0000,Min Level,06 Oct 2025
MIN,PAC,,Min,Poly Aluminium Chloride (Powder),0.0000,Min Level,06 Oct 2025
MIN,PACS,,Min,PAC Liquid Solution,0.0000,Min Level,06 Oct 2025
MIN,PAL001,,Min,Pallet woods,0.0000,Min Level,06 Oct 2025
MIN,POL001,,Min,Polyamine,0.0000,Min Level,06 Oct 2025
MIN,POLY,,Min,Polycans 30kg,0.0000,Min Level,06 Oct 2025
MIN,SAMPLE001,,Min,Sample,0.0000,Min Level,06 Oct 2025
MIN,SDICT,,Min,Halo Klor Tablets,0.0000,Min Level,06 Oct 2025
MIN,SEPTI001,,Min,Septic Tablets,0.0000,Min Level,06 Oct 2025
MIN,SOD001,,Min,Sodium Hypochlorite,0.0000,Min Level,06 Oct 2025
MIN,SOD002,,Min,Soda ash,0.0000,Min Level,06 Oct 2025
MIN,SPO001,,Min,Spotless Soap,0.0000,Min Level,06 Oct 2025
MIN,SUL001,,Min,Sulphuric Acid,0.0000,Min Level,06 Oct 2025
MIN,SUPER001,,Min,Super Wash 25lt,0.0000,Min Level,06 Oct 2025
MIN,TANK001,,Min,Tank with mixer,0.0000,Min Level,06 Oct 2025
MIN,TOTALCHLO001,,Min,TOTAL CHLORINE REAGENTS,0.0000,Min Level,06 Oct 2025
MIN,WAT001,,Min,Water,0.0000,Min Level,06 Oct 2025
PS0000004,4015SF,,PS,AF415,-56000.0000,2025-10 Week42,16 Oct 2025
